FormDefectName,ProposedL1Code,ProposedL2Code,ProposedL2Name,LineType,SourceFile,Evidence
Fiber,CONTAMINATION,FIBER,Fiber / Lint,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.40 Accurate/8.2.1.3.40.2 Accurate Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Discoloured dirt / spec,APPEARANCE,OFF-COLOR,Off Color / Discoloration,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Fish Eyes,SURFACE,FISH-EYE,Fish Eyes,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Heavy powder,COVERAGE,HEAVY-COAT,Excessive Film Build,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Cluster of Dirt,CONTAMINATION,DIRT,Dirt / Particles,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Lt. cov/ Dry spray,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Off colour (Discoloured),APPEARANCE,OFF-COLOR,Off Color / Discoloration,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Touch Mark,DAMAGE,TOUCH-MARK,Touch Mark,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Hook Mark,DAMAGE,HOOK-MARK,Hook Mark / Hanger Mark,POWDER,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Pinholes,SURFACE,PINHOLES,Pinholes,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Orange peel,TEXTURE,ORANGE-PEEL,Orange Peel,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Sanding marks,SUBSTRATE,SANDING-MARKS,Sanding Marks,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Oil,CONTAMINATION,OIL,Oil Contamination,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
Fiber,CONTAMINATION,FIBER,Fiber / Lint,UNKNOWN,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.6 AGS/8.2.1.3.6.12 Hino 3 pc Bumpers Inspection defect tracking.xlsx,Sheet:Defect Tracking Row:3
